product_id,product_name,description,price,category
93,Men's Chino Pants,Slim-fit pants for versatile wear,39.99,Clothing
94,Art History Book,Overview of art movements through history,22.99,Books
95,Plush Dinosaur Toy,Soft toy for young children,14.99,Toys & Games
96,Fitness Smart Scale,Scale with body composition analysis,49.99,Electronics
97,Cast Iron Dutch Oven,5-quart oven for slow cooking,59.99,Home & Kitchen
98,Women's Leather Jacket,Stylish jacket for cool weather,89.99,Clothing
99,Adventure Novel,Thrilling story of wilderness survival,13.99,Books
100,Building Robot Kit,STEM-focused robot-building set,39.99,Toys & Games
101,Wireless Gaming Headset,Surround sound headset with mic,79.99,Electronics
102,Bamboo Cutting Board Set,Set of 3 boards for food prep,29.99,Home & Kitchen
103,Men's Swim Trunks,Quick-dry trunks for beach or pool,24.99,Clothing
104,Psychology Book,Introduction to cognitive psychology,17.99,Books
105,Interactive Globe,Educational globe with AR features,49.99,Toys & Games
106,Portable Projector,Compact projector for home entertainment,99.99,Electronics
107,Silicone Baking Mold,Flexible mold for cakes and muffins,14.99,Home & Kitchen
108,Women's Denim Shorts,Comfortable shorts for summer wear,29.99,Clothing
109,Crime Fiction Novel,Fast-paced detective story,12.99,Books
110,Toy Train Set,Wooden train set with tracks,34.99,Toys & Games
111,Smart Watch,Fitness tracker with touchscreen display,69.99,Electronics
112,Stainless Steel Coffee Maker,12-cup coffee maker with timer,49.99,Home & Kitchen
113,Men's Flannel Shirt,Warm shirt for casual wear,34.99,Clothing
114,Health and Wellness Book,Guide to balanced living,15.99,Books
115,Remote Control Plane,Toy plane with easy controls,29.99,Toys & Games
116,Wireless Webcam,HD webcam for video calls,39.99,Electronics
117,Glass Mixing Bowl,Single 2-quart bowl for mixing,12.99,Home & Kitchen
118,Women's Tunic Top,Flowy top for casual outfits,29.99,Clothing
119,Graphic Novel,Illustrated story for young adults,14.99,Books
120,Building Block Tower,Stacking game for kids,19.99,Toys & Games
121,Portable Air Purifier,Compact purifier for small rooms,59.99,Electronics
122,Ceramic Pie Dish,9-inch dish for baking pies,19.99,Home & Kitchen
123,Men's Cargo Pants,Durable pants with multiple pockets,39.99,Clothing
124,Technology Book,Exploration of AI advancements,18.99,Books
125,Plush Unicorn Toy,Soft toy for young children,14.99,Toys & Games
126,Wireless Charging Station,Multi-device charger for phones and watches,49.99,Electronics
127,Stainless Steel Stock Pot,8-quart pot for soups and stews,39.99,Home & Kitchen
128,Women's Raincoat,Waterproof coat with hood,59.99,Clothing
129,Historical Biography,Life story of a famous inventor,16.99,Books
130,Action Figure Playset,Themed playset with multiple figures,29.99,Toys & Games
131,Smart Home Hub,Central hub for smart device control,89.99,Electronics
132,Wooden Spoon Set,Set of 4 spoons for cooking,9.99,Home & Kitchen
133,Men's Knit Sweater,Cozy sweater for cool weather,44.99,Clothing
134,Science Fiction Anthology,Collection of short sci-fi stories,15.99,Books
135,Toy Kitchen Set,Pretend-play kitchen for kids,49.99,Toys & Games
136,Wireless Earbuds Case,Protective case for earbuds,14.99,Electronics
137,Glass Measuring Cup,4-cup capacity with clear markings,12.99,Home & Kitchen
138,Women's Athletic Shoes,Supportive shoes for running,59.99,Clothing
139,Personal Finance Book,Guide to budgeting and investing,13.99,Books
140,Board Game Adventure,Cooperative game for 2-4 players,29.99,Toys & Games
141,Portable Speakerphone,Bluetooth speakerphone for calls,39.99,Electronics
142,Non-Stick Baking Sheet,Large sheet for cookies and pastries,14.99,Home & Kitchen
143,Men's Windbreaker,Lightweight jacket for outdoor use,49.99,Clothing
144,Self-Improvement Book,Strategies for personal growth,14.99,Books
145,Plush Puppy Toy,Soft toy for young children,14.99,Toys & Games
146,Smart Door Lock,Keyless entry lock with app control,99.99,Electronics
147,Ceramic Canister Set,Set of 3 for kitchen storage,29.99,Home & Kitchen
148,Women's Blouse,Lightweight blouse for work or casual,34.99,Clothing
149,Adventure Travel Book,Stories from global explorations,16.99,Books
150,Toy Car Track Set,Racing track with toy cars,34.99,Toys & Games
151,Wireless Mouse Pad,Mouse pad with built-in charging,24.99,Electronics
152,Stainless Steel Whisk,Heavy-duty whisk for mixing,9.99,Home & Kitchen
153,Men's Running Jacket,Water-resistant jacket for workouts,59.99,Clothing
154,Philosophy Book,Introduction to philosophical concepts,15.99,Books
155,Interactive Storybook,Book with sound effects for kids,19.99,Toys & Games
156,Smart Ceiling Fan,Fan with remote and app control,99.99,Electronics
157,Glass Storage Jar,1-quart jar with airtight lid,12.99,Home & Kitchen
158,Women's Sandals,Comfortable sandals for summer,29.99,Clothing
159,Culinary History Book,History of global cuisines,17.99,Books
160,Building Block Castle,Themed castle-building set,39.99,Toys & Games
161,Wireless Gaming Controller,Controller for PC and consoles,49.99,Electronics
162,Ceramic Serving Platter,Large platter for entertaining,24.99,Home & Kitchen
163,Men's Dress Shoes,Polished leather shoes for formal wear,69.99,Clothing
164,Fantasy Adventure Novel,Second book in a fantasy series,14.99,Books
165,Remote Control Tank,Toy tank with realistic sounds,29.99,Toys & Games
166,Portable Monitor,15.6-inch USB-C monitor,99.99,Electronics
167,Silicone Pastry Brush,Brush for baking and grilling,9.99,Home & Kitchen
168,Women's Hoodie,Soft hoodie with front pocket,39.99,Clothing
169,True Crime Anthology,Collection of real crime stories,15.99,Books
170,Toy Doctor Kit,Pretend-play medical kit for kids,24.99,Toys & Games
171,Smart Light Strip,5-meter LED strip with app control,29.99,Electronics
172,Stainless Steel Grater,Multi-purpose grater for cheese and vegetables,12.99,Home & Kitchen
173,Men's Casual Jacket,Lightweight jacket for everyday wear,49.99,Clothing
174,Science Experiment Book,Experiments for young scientists,13.99,Books
175,Plush Elephant Toy,Soft toy for young children,14.99,Toys & Games
176,Wireless Dash Cam,1080p camera for vehicle recording,59.99,Electronics
177,Glass Salad Bowl,Large bowl with elegant design,19.99,Home & Kitchen
178,Women's Knit Top,Soft top for casual outfits,29.99,Clothing
179,Historical Novel,Story set in ancient civilizations,14.99,Books
180,Toy Farm Set,Playset with animals and barn,34.99,Toys & Games
181,Smart Smoke Detector,Wi-Fi enabled detector with alerts,49.99,Electronics
182,Ceramic Teapot,1L teapot with infuser,24.99,Home & Kitchen
183,Men's Athletic Socks,Pack of 5 moisture-wicking socks,14.99,Clothing
184,Psychology Self-Help Book,Guide to mental wellness,15.99,Books
185,Building Block Vehicle,Vehicle-themed building set,29.99,Toys & Games
186,Wireless Bluetooth Adapter,Adapter for non-Bluetooth devices,19.99,Electronics
187,Stainless Steel Measuring Spoons,Set of 6 for precise measurements,9.99,Home & Kitchen
188,Women's Winter Coat,Insulated coat with faux fur hood,89.99,Clothing
189,Memoir Anthology,Collection of personal essays,16.99,Books
190,Remote Control Submarine,Toy submarine for pool play,34.99,Toys & Games
191,Smart Thermometer,Bluetooth-enabled thermometer,39.99,Electronics
192,Wooden Rolling Pin,Durable pin for baking,14.99,Home & Kitchen
193,Men's Graphic Tee,Cotton shirt with bold print,19.99,Clothing
194,Fiction Novel,Contemporary story of family dynamics,13.99,Books
195,Toy Tool Set,Pretend-play tools for kids,24.99,Toys & Games
196,Wireless Soundbar,Compact soundbar for TV audio,79.99,Electronics
197,Glass Cake Stand,10-inch stand for desserts,19.99,Home & Kitchen
198,Women's Leggings,High-waisted leggings for casual wear,29.99,Clothing
199,Science History Book,History of scientific discoveries,17.99,Books
200,Plush Lion Toy,Soft toy for young children,14.99,Toys & Games
201,Smart Fitness Band,Tracker with sleep monitoring,49.99,Electronics
202,Ceramic Soup Bowl,Set of 4 deep bowls,24.99,Home & Kitchen
203,Men's Denim Jeans,Slim-fit jeans for everyday wear,39.99,Clothing
204,Classic Mystery Novel,Detective story from the 20th century,12.99,Books
205,Interactive Dinosaur Toy,Toy with sound and motion,29.99,Toys & Games
206,Wireless Car Charger,Phone mount with charging,34.99,Electronics
207,Stainless Steel Peeler,Ergonomic peeler for vegetables,9.99,Home & Kitchen
208,Women's Sweater Dress,Cozy dress for fall and winter,49.99,Clothing
209,Travel Memoir,Stories from a world traveler,15.99,Books
210,Toy Construction Set,Heavy-duty vehicle building kit,34.99,Toys & Games
211,Smart LED Lamp,Desk lamp with adjustable brightness,39.99,Electronics
212,Silicone Ice Tray,Flexible tray for large ice cubes,12.99,Home & Kitchen
213,Men's Running Shorts,Breathable shorts with liner,24.99,Clothing
214,Self-Development Book,Guide to achieving goals,14.99,Books
215,Board Game Puzzle,Strategy puzzle game for adults,29.99,Toys & Games
216,Wireless Noise Canceller,Headphones with active noise cancellation,99.99,Electronics
217,Glass Water Pitcher,1.5L pitcher with filter,19.99,Home & Kitchen
218,Women's Flannel Pajamas,Soft pajama set for lounging,34.99,Clothing
219,Historical Fiction Series,Third book in a historical saga,14.99,Books
220,Toy Spaceship,Light-up spaceship toy for kids,24.99,Toys & Games
221,Smart Power Strip,Wi-Fi enabled strip with 4 outlets,39.99,Electronics
222,Ceramic Vase,Decorative vase for home decor,24.99,Home & Kitchen
223,Men's Leather Wallet,Slim wallet with RFID protection,29.99,Clothing
224,Science Fiction Novel,Epic tale of space colonization,15.99,Books
225,Plush Panda Toy,Soft toy for young children,14.99,Toys & Games
226,Wireless Fitness Earbuds,Sweat-proof earbuds for workouts,49.99,Electronics
227,Stainless Steel Roasting Pan,Large pan for oven roasting,34.99,Home & Kitchen
228,Women's Tote Bag,Spacious bag for daily use,39.99,Clothing
229,Art Technique Book,Guide to watercolor painting,16.99,Books
230,Toy Fire Truck,Interactive truck with lights and sounds,29.99,Toys & Games
231,Smart Home Camera,Indoor camera with two-way audio,59.99,Electronics
232,Bamboo Coaster Set,Set of 6 coasters for drinks,12.99,Home & Kitchen
233,Men's Beanie,Warm knit beanie for winter,14.99,Clothing
234,Personal Growth Book,Strategies for building confidence,13.99,Books
235,Building Block City,City-themed building set,39.99,Toys & Games
236,Wireless Trackpad,Touchpad for laptops and PCs,39.99,Electronics
237,Glass Tumbler Set,Set of 4 for hot or cold drinks,19.99,Home & Kitchen
238,Women's Athletic Jacket,Lightweight jacket for sports,49.99,Clothing
239,Classic Novel Collection,Set of 3 timeless novels,29.99,Books
240,Toy Race Car Set,Track set with two cars,34.99,Toys & Games
241,Smart Water Bottle,Hydration tracker with app,39.99,Electronics
242,Ceramic Cookie Jar,Airtight jar for snacks,19.99,Home & Kitchen
243,Men's Dress Pants,Fitted pants for formal wear,49.99,Clothing
244,Science Book for Kids,Fun experiments for young learners,12.99,Books
245,Plush Giraffe Toy,Soft toy for young children,14.99,Toys & Games
246,Wireless VR Headset,Virtual reality headset for gaming,99.99,Electronics
247,Stainless Steel Blender,High-power blender for smoothies,59.99,Home & Kitchen
248,Women's Slip-On Shoes,Comfortable shoes for daily wear,39.99,Clothing
249,Adventure Fiction Novel,Story of a daring expedition,14.99,Books
250,Interactive Pet Toy,Toy with motion for cats,19.99,Toys & Games
251,Smart Air Fryer,4-quart fryer with app control,79.99,Electronics
252,Wooden Spice Rack,12-jar rack for kitchen organization,24.99,Home & Kitchen
253,Men's Bomber Jacket,Stylish jacket for cool weather,59.99,Clothing
254,Leadership Book,Guide to effective leadership,16.99,Books
255,Toy Helicopter Set,Helicopter with landing pad,29.99,Toys & Games
256,Wireless Phone Stand,Adjustable stand with charging,29.99,Electronics
257,Glass Oil Dispenser,Bottle for cooking oils,14.99,Home & Kitchen
258,Women's Chiffon Blouse,Lightweight blouse for work,34.99,Clothing
259,Mystery Novel Series,First book in a detective series,13.99,Books
260,Building Block Farm,Farm-themed building set,34.99,Toys & Games
261,Smart Coffee Maker,Wi-Fi enabled coffee machine,69.99,Electronics
262,Ceramic Plant Pot,6-inch pot for indoor plants,14.99,Home & Kitchen
263,Men's Athletic Hoodie,Sweat-wicking hoodie for workouts,39.99,Clothing
264,Travel Photography Book,Stunning photos from around the world,19.99,Books
265,Plush Monkey Toy,Soft toy for young children,14.99,Toys & Games
266,Wireless Keyboard Mouse Combo,Ergonomic set for productivity,49.99,Electronics
267,Stainless Steel Can Opener,Durable opener with soft grip,12.99,Home & Kitchen
268,Women's Denim Jacket,Casual jacket with stretch,49.99,Clothing
269,Science Fiction Series,Second book in a sci-fi saga,15.99,Books
270,Toy Pirate Ship,Interactive ship with figures,34.99,Toys & Games
271,Smart Doorbell,Video doorbell with HD camera,99.99,Electronics
272,Bamboo Cutting Board,Large board with juice groove,19.99,Home & Kitchen
273,Men's Casual Boots,Leather boots for everyday wear,59.99,Clothing
274,Self-Help Anthology,Collection of motivational essays,14.99,Books
275,Board Game Mystery,Detective-themed game for 2-6 players,29.99,Toys & Games
276,Wireless Earbuds Pro,High-fidelity earbuds with case,69.99,Electronics
277,Glass Food Prep Bowls,Set of 4 stackable bowls,24.99,Home & Kitchen
278,Women's Wool Coat,Classic coat for winter,89.99,Clothing
279,Historical Adventure Novel,Tale of exploration in the 17th century,14.99,Books
280,Toy Space Station,Space-themed playset for kids,39.99,Toys & Games
281,Smart Floodlight,Outdoor light with motion sensor,79.99,Electronics
282,Ceramic Butter Dish,Dish with lid for butter storage,14.99,Home & Kitchen
283,Men's Track Pants,Comfortable pants for workouts,34.99,Clothing
284,Cooking for Kids,Recipes for young chefs,12.99,Books
285,Plush Tiger Toy,Soft toy for young children,14.99,Toys & Games
286,Wireless Mini Projector,Portable projector for presentations,89.99,Electronics
287,Stainless Steel Mixing Spoons,Set of 3 spoons for cooking,12.99,Home & Kitchen
288,Women's Running Shoes,Breathable shoes with cushioning,59.99,Clothing
289,Science Fiction Thriller,Fast-paced novel about AI,15.99,Books
290,Toy Construction Crane,Interactive crane for play,29.99,Toys & Games
291,Smart Pet Feeder,App-controlled feeder for pets,99.99,Electronics
292,Wooden Salad Servers,Set of 2 servers for tossing salads,14.99,Home & Kitchen
293,Men's Henley Shirt,Long-sleeve cotton shirt,29.99,Clothing
294,Biography of a Scientist,Life of a famous physicist,16.99,Books
295,Interactive Robot Dog,Toy dog with voice control,49.99,Toys & Games
296,Wireless Charging Dock,Multi-device dock for phones,49.99,Electronics
297,Ceramic Mixing Bowl,Single 3-quart bowl,19.99,Home & Kitchen
298,Women's Fleece Jacket,Cozy jacket for outdoor use,49.99,Clothing
299,Classic Poetry Book,Collection of famous poems,13.99,Books
300,Toy Airport Playset,Airport set with planes and figures,34.99,Toys & Games
301,Smart Thermostat Pro,Advanced thermostat with voice control,129.99,Electronics
302,Glass Coffee Mug,Set of 2 insulated mugs,19.99,Home & Kitchen
303,Men's Slim-Fit Jeans,Stretch jeans for modern style,39.99,Clothing
304,Adventure Non-Fiction,Stories of extreme sports,15.99,Books
305,Plush Bear Toy,Soft toy for young children,14.99,Toys & Games
306,Wireless Action Cam,Waterproof camera for sports,79.99,Electronics
307,Stainless Steel Ladle,Deep ladle for soups and sauces,12.99,Home & Kitchen
308,Women's Maxi Dress,Elegant dress for summer,49.99,Clothing
309,Mystery Suspense Novel,Thrilling crime story,14.99,Books
310,Toy Train Station,Train set with station and tracks,39.99,Toys & Games
311,Smart Light Panel,Wall-mounted LED panel with app,99.99,Electronics
312,Bamboo Serving Tray,Tray for snacks and drinks,19.99,Home & Kitchen
313,Men's Puffer Jacket,Insulated jacket for winter,69.99,Clothing
314,Psychology for Beginners,Introduction to human behavior,13.99,Books
315,Building Block Space,Space-themed building set,34.99,Toys & Games
316,Wireless Microphone,Clip-on mic for recording,49.99,Electronics
317,Ceramic Dinnerware Set,Set of 4 plates and bowls,49.99,Home & Kitchen
318,Women's Athletic Shorts,Lightweight shorts for workouts,29.99,Clothing
319,Fantasy Novel Trilogy,Final book in a fantasy series,15.99,Books
320,Toy Castle Playset,Castle with knights and dragons,39.99,Toys & Games
321,Smart Video Doorbell,Doorbell with 4K camera,129.99,Electronics
322,Glass Carafe,1L carafe for wine or water,19.99,Home & Kitchen
323,Men's Cardigan Sweater,Warm sweater for layering,44.99,Clothing
324,Science History Novel,Story of a famous discovery,14.99,Books
325,Plush Zebra Toy,Soft toy for young children,14.99,Toys & Games
326,Wireless Gaming Keyboard,RGB keyboard for gaming,69.99,Electronics
327,Stainless Steel Skimmer,Skimmer for frying and boiling,12.99,Home & Kitchen
328,Women's Winter Boots,Insulated boots for snow,59.99,Clothing
329,Self-Help Guide,Guide to time management,13.99,Books
330,Toy Safari Set,Animal-themed playset,34.99,Toys & Games
331,Smart Speaker Mini,Compact speaker with voice assistant,49.99,Electronics
332,Wooden Cheese Board,Board with knife set,24.99,Home & Kitchen
333,Men's Athletic Shoes,Supportive shoes for sports,59.99,Clothing
334,Historical Memoir,Personal story from the 20th century,15.99,Books
335,Interactive Puzzle Game,Brain teaser for adults,29.99,Toys & Games
336,Wireless Fitness Tracker,Tracker with GPS and heart rate,79.99,Electronics
337,Ceramic Baking Dish,8x8 inch dish for baking,19.99,Home & Kitchen
338,Women's Puffer Vest,Lightweight vest for layering,39.99,Clothing
339,Science Fiction Anthology,Short stories from top authors,14.99,Books
340,Toy Robot Kit,Build-your-own robot set,39.99,Toys & Games
341,Smart Indoor Camera,360-degree camera with app,59.99,Electronics
342,Glass Prep Bowl Set,Set of 6 small bowls,14.99,Home & Kitchen
343,Men's Crew Socks,Pack of 6 cotton socks,14.99,Clothing
344,Cooking Technique Guide,Advanced recipes for home cooks,16.99,Books
345,Plush Rhino Toy,Soft toy for young children,14.99,Toys & Games
346,Wireless Headphone Stand,Stand with built-in charger,39.99,Electronics
347,Stainless Steel Tongs,Locking tongs for cooking,12.99,Home & Kitchen
348,Women's Trench Coat,Classic coat for rainy days,69.99,Clothing
349,Adventure Novel Series,Second book in an adventure series,14.99,Books
350,Toy Police Car,Interactive car with lights and sounds,24.99,Toys & Games
351,Smart Humidifier,Wi-Fi enabled humidifier,79.99,Electronics
352,Bamboo Drawer Organizer,Organizer for kitchen utensils,19.99,Home & Kitchen
353,Men's V-Neck Sweater,Lightweight sweater for layering,39.99,Clothing
354,Psychology of Success,Guide to achieving goals,15.99,Books
355,Building Block Train,Train-themed building set,34.99,Toys & Games
356,Wireless Portable Scanner,Compact scanner for documents,99.99,Electronics
357,Ceramic Salt Shaker,Set of 2 shakers for seasoning,12.99,Home & Kitchen
358,Women's Slippers,Cozy slippers for home,24.99,Clothing
359,Classic Adventure Novel,Tale of a daring journey,13.99,Books
360,Toy Space Rocket,Rocket with astronaut figures,29.99,Toys & Games
361,Smart Light Switch,Wall-mounted switch with app,39.99,Electronics
362,Glass Mixing Pitcher,2L pitcher for cocktails,19.99,Home & Kitchen
363,Men's Running Vest,Lightweight vest for workouts,34.99,Clothing
364,Science for Teens,Guide to scientific concepts,14.99,Books
365,Plush Penguin Toy,Soft toy for young children,14.99,Toys & Games
366,Wireless Noise Cancelling Earbuds,High-end earbuds with ANC,99.99,Electronics
367,Stainless Steel Colander Set,Set of 2 colanders for straining,24.99,Home & Kitchen
368,Women's Knit Scarf,Soft scarf for winter,19.99,Clothing
369,Historical Fiction Anthology,Short stories set in different eras,15.99,Books
370,Toy Farm Tractor,Tractor with animal figures,29.99,Toys & Games
371,Smart Pet Camera,Camera with treat dispenser,79.99,Electronics
372,Wooden Napkin Holder,Holder for dining table,14.99,Home & Kitchen
373,Men's Leather Gloves,Warm gloves for winter,29.99,Clothing
374,Self-Help for Teens,Guide to building confidence,13.99,Books
375,Interactive Board Game,Strategy game for families,34.99,Toys & Games
376,Wireless VR Controller,Controller for VR gaming,49.99,Electronics
377,Ceramic Coaster Set,Set of 4 absorbent coasters,14.99,Home & Kitchen
378,Women's Athletic Pants,Sweat-wicking pants for workouts,39.99,Clothing
379,Science Fiction Classic,Timeless novel about alien contact,14.99,Books
380,Toy Construction Site,Playset with vehicles and workers,39.99,Toys & Games
381,Smart Air Purifier,HEPA filter purifier with app,99.99,Electronics
382,Glass Dessert Bowl,Set of 4 bowls for sweets,19.99,Home & Kitchen
383,Men's Rain Jacket,Waterproof jacket with hood,59.99,Clothing
384,Business Leadership Book,Strategies for team management,16.99,Books
385,Plush Koala Toy,Soft toy for young children,14.99,Toys & Games
386,Wireless Desk Charger,Charger for multiple devices,49.99,Electronics
387,Stainless Steel Garlic Press,Durable press for mincing garlic,12.99,Home & Kitchen
388,Women's Button-Up Shirt,Crisp shirt for work or casual,34.99,Clothing
389,Adventure Biography,Life of an explorer,15.99,Books
390,Toy Ambulance,Interactive vehicle with lights,24.99,Toys & Games
391,Smart LED Bulb Set,Set of 4 color-changing bulbs,59.99,Electronics
392,Bamboo Placemat Set,Set of 4 mats for dining,19.99,Home & Kitchen
393,Men's Fleece Vest,Lightweight vest for layering,39.99,Clothing
394,Science Fiction Novella,Short story about time travel,12.99,Books
395,Building Block Pirate Ship,Pirate-themed building set,34.99,Toys & Games
396,Wireless Audio Receiver,Adapter for wireless audio,39.99,Electronics
397,Ceramic Espresso Cup,Set of 4 small cups,14.99,Home & Kitchen
398,Women's Chelsea Boots,Leather boots for fall,59.99,Clothing
399,Personal Finance Guide,Guide to saving and investing,14.99,Books
400,Toy Helicopter Pad,Helicopter with landing pad,29.99,Toys & Games
401,Smart Wall Outlet,Wi-Fi enabled outlet with USB,49.99,Electronics
